城市,区域,板块,小区,户型,户型详情,标题,租金,面积,朝向,品牌,链接
北京,顺义,顺义城,石园北区,三居,3室1厅1卫,整租·石园北区 3室1厅 西南,3100,111.89,西南,链家,https://bj.lianjia.com/zufang/BJ2100186981689458688.html
北京,顺义,后沙峪,国门智慧城,三居,未知,整租·国门智慧城 4房间 南,3800,70.69,南,贝壳优选,https://bj.lianjia.com/zufang/BJ2094806277845680128.html
北京,顺义,马坡,龙湖香醍溪岸南区,三居,3室1厅2卫,整租·龙湖香醍溪岸南区 3室1厅 南/北,2200,119.58,南 北,链家,https://bj.lianjia.com/zufang/BJ2100427948078137344.html
北京,顺义,顺义城,金汉绿港五区,三居,3室2厅2卫,整租·金汉绿港五区 3室2厅 南/北,5600,128.92,南 北,链家,https://bj.lianjia.com/zufang/BJ2100786351916974080.html
北京,顺义,后沙峪,祥云赋,三居,3室1厅1卫,整租·祥云赋 3室1厅 南/北,5300,89.32,南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ1884608865224359936.html
北京,顺义,马坡,马坡花园二区,三居,3室2厅2卫,整租·马坡花园二区 3室2厅 东,2800,102.00,东,链家,https://bj.lianjia.com/zufang/BJ2100908473616171008.html
北京,顺义,顺义其它,龙湖云河砚,三居,3室2厅2卫,整租·龙湖云河砚 3室2厅 南/北,5500,105.00,南 北,链家,https://bj.lianjia.com/zufang/BJ2100930225830363136.html
北京,顺义,马坡,鲁能7号院溪园,三居,3室2厅2卫,整租·鲁能7号院溪园 3室2厅 南/北,4300,118.08,南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ1841050327864836096.html
北京,顺义,顺义其它,北京城建·星誉BEIJING,三居,3室1厅2卫,整租·北京城建·星誉BEIJING 3室1厅 南/北,4500,89.00,南 北,链家,https://bj.lianjia.com/zufang/BJ2101242519965663232.html
北京,顺义,后沙峪,公园十七区,三居,3室1厅2卫,整租·公园十七区 3室1厅 南/北,7200,89.76,南 北,链家,https://bj.lianjia.com/zufang/BJ2093671886675247104.html
北京,顺义,顺义其它,旭辉26街区,三居,未知,整租·旭辉26街区 4房间 南,3675,58.99,南,贝壳优选,https://bj.lianjia.com/zufang/BJ1920438226439372800.html
北京,顺义,后沙峪,万科城市花园,三居,3室1厅1卫,整租·万科城市花园 3室1厅 南/北,4100,106.41,南 北,链家,https://bj.lianjia.com/zufang/BJ2094651028338114560.html
北京,顺义,顺义城,阳光水岸,三居,3室1厅1卫,整租·阳光水岸 3室1厅 南/北,3800,92.00,南 北,链家,https://bj.lianjia.com/zufang/BJ2103763512378523648.html
北京,顺义,首都机场,南竺园,三居,3室1厅1卫,整租·南竺园 3室1厅 南/北,4000,90.47,南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ1842481209368641536.html
北京,顺义,顺义其它,北京城建·星誉BEIJING,三居,3室2厅2卫,整租·北京城建·星誉BEIJING 3室2厅 南,4800,89.00,南,链家,https://bj.lianjia.com/zufang/BJ2104872143501131776.html
北京,顺义,顺义城,仁和花园二区,三居,3室1厅1卫,整租·仁和花园二区 3室1厅 南/北,3800,113.07,南 北,链家,https://bj.lianjia.com/zufang/BJ2105157237080064000.html
北京,顺义,后沙峪,祥云赋,三居,3室1厅1卫,整租·祥云赋 3室1厅 南/北,7200,89.44,南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ1871165542576947200.html
北京,顺义,顺义城,双兴东区,三居,3室1厅1卫,整租·双兴东区 3室1厅 南/北,3800,89.67,南 北,链家,https://bj.lianjia.com/zufang/BJ2100426483557203968.html
北京,顺义,后沙峪,中粮祥云国际生活区中区,三居,3室2厅2卫,整租·中粮祥云国际生活区中区 3室2厅 南/北,18000,222.77,南 北,链家,https://bj.lianjia.com/zufang/BJ2100180728544231424.html
北京,顺义,后沙峪,金成雅苑,三居,3室1厅1卫,整租·金成雅苑 3室1厅 南,4559,89.93,南,贝壳优选,https://bj.lianjia.com/zufang/BJ1930575363906207744.html
北京,顺义,马坡,香悦四季东区,三居,3室1厅2卫,整租·香悦四季东区 3室1厅 南,3800,94.22,南,链家,https://bj.lianjia.com/zufang/BJ2100121280593264640.html
北京,顺义,顺义城,宏城花园,三居,3室1厅1卫,整租·宏城花园 3室1厅 南/北,3500,122.76,南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ1892833750199304192.html
北京,顺义,后沙峪,国门智慧城,三居,未知,整租·国门智慧城 4房间 南/西南,4410,73.45,南 西南,贝壳优选,https://bj.lianjia.com/zufang/BJ1913880870276562944.html
北京,丰台,草桥,恋日花都,三居,3室2厅2卫,整租·恋日花都 3室2厅 东/南/北,11000,153.29,东 南 北,链家,https://bj.lianjia.com/zufang/BJ2060263921679335424.html
北京,丰台,青塔,长安新城,三居,3室1厅1卫,整租·长安新城 3室1厅 东南/北,6200,111.60,东南 北,贝壳优选,https://bj.lianjia.com/zufang/BJ2093643806187454464.html
