城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度
北京,西城,牛街,枫桦豪景一期,三居,3室1厅1卫,22000.0,186.39,118.03,南 北,链家,整租·枫桦豪景一期 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1568892021593079808.html,116.372181,39.888554,
北京,东城,东花市,东花市北里西区,两居,2室1厅1卫,6600.0,67.74,97.43,东 西,链家,整租·东花市北里西区 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ1590615200866762752.html,116.429411,39.898736,
北京,大兴,旧宫,清逸园,两居,2室1厅1卫,4300.0,70.0,61.43,南 北,链家,整租·清逸园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1602496908964659200.html,116.447778,39.80582,
北京,朝阳,定福庄,鲁班大厦,三居,3室1厅2卫,9000.0,141.52,63.6,南 北,链家,整租·鲁班大厦 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1604358144522190848.html,116.562231,39.916525,
北京,房山,良乡,房山超级蜂巢,一居,,1600.0,41.22,38.82,北,贝壳优选,整租·房山超级蜂巢 2房间 北,https://bj.lianjia.com/zufang/BJ1605122571810897920.html,116.125355,39.712554,小区
北京,通州,潞苑,华龙小区,三居,3室1厅1卫,3200.0,96.66,33.11,南 北,贝壳优选,整租·华龙小区 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1605157215910494208.html,116.687693,39.927017,小区
北京,石景山,鲁谷,京汉旭城,两居,2室1厅1卫,5600.0,92.57,60.49,南 北,贝壳优选,整租·京汉旭城 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1606531462700466176.html,116.223015,39.906304,
北京,通州,万达,帅府园,两居,2室1厅1卫,3640.0,70.99,51.27,南 北,贝壳优选,整租·帅府园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1606890412578963456.html,116.64662,39.902722,
北京,丰台,成寿寺,四方景园五区,三居,3室1厅1卫,6000.0,80.9,74.17,东,贝壳优选,整租·四方景园五区 3室1厅 东,https://bj.lianjia.com/zufang/BJ1608432808965963776.html,116.442639,39.856204,
北京,怀柔,怀柔,顶秀美泉小镇A区,两居,2室1厅1卫,3300.0,89.0,37.08,南 北,链家,整租·顶秀美泉小镇A区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1609400066643066880.html,116.672772,40.372421,小区
北京,昌平,天通苑,太平家园,一居,1室1厅1卫,4900.0,51.66,94.85,南,贝壳优选,整租·太平家园 1室1厅 南,https://bj.lianjia.com/zufang/BJ1612030780672835584.html,116.231034,40.220952,行政区
北京,通州,临河里,DBC加州小镇,两居,2室1厅1卫,3950.0,88.61,44.58,南 北,贝壳优选,整租·DBC加州小镇 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1615320323853385728.html,116.681547,39.868264,
北京,西城,阜成门,百万庄中里,一居,1室1厅1卫,5200.0,42.5,122.35,东,贝壳优选,整租·百万庄中里 1室1厅 东,https://bj.lianjia.com/zufang/BJ1615322076225208320.html,116.338899,39.928816,
北京,通州,九棵树(家乐福),翠屏里,两居,2室1厅1卫,2800.0,62.42,44.86,南 北,贝壳优选,整租·翠屏里 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1620263572237975552.html,116.649613,39.886971,
北京,海淀,清河,小营东路6号院,三居,3室0厅1卫,6000.0,56.2,106.76,东 南 北,贝壳优选,整租·小营东路6号院 3室0厅 东/南/北,https://bj.lianjia.com/zufang/BJ1620713114204897280.html,116.349873,40.04017,小区
北京,海淀,田村,景宜里,三居,3室2厅2卫,8900.0,119.94,74.2,南 北,贝壳优选,整租·景宜里 3室2厅 南/北,https://bj.lianjia.com/zufang/BJ1622602816524648448.html,116.249935,39.929731,
北京,房山,长阳,绿地启航社,一居,,2200.0,53.0,41.51,东,贝壳优选,整租·绿地启航社 1房间 东,https://bj.lianjia.com/zufang/BJ1623233281212284928.html,116.143426,39.748889,
北京,通州,乔庄,玉桥北里,一居,1室1厅1卫,2600.0,51.0,50.98,南 北,贝壳优选,整租·玉桥北里 1室1厅 南/北,https://bj.lianjia.com/zufang/BJ1623259740060516352.html,116.681182,39.893708,
北京,房山,长阳,加州水郡Q酷,一居,,1600.0,29.21,54.78,南,贝壳优选,整租·加州水郡Q酷 1房间 南,https://bj.lianjia.com/zufang/BJ1626213163697438720.html,116.173315,39.767691,小区
北京,昌平,东关,清秀园北区,一居,1室0厅1卫,2300.0,34.12,67.41,南 北,贝壳优选,整租·清秀园北区 1室0厅 南/北,https://bj.lianjia.com/zufang/BJ1626909468409200640.html,,,失败
北京,通州,万达,水月院,两居,2室1厅1卫,3000.0,61.59,48.71,南 北,贝壳优选,整租·水月院 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1628312977943822336.html,116.661125,39.902381,
北京,丰台,太平桥,太平桥西里,一居,1室1厅1卫,4700.0,43.67,107.63,南,贝壳优选,整租·太平桥西里 1室1厅 南,https://bj.lianjia.com/zufang/BJ1629353833723330560.html,116.315949,39.88242,
北京,东城,和平里,民旺园,三居,3室1厅1卫,8000.0,77.89,102.71,南 北,贝壳优选,整租·民旺园 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1630775933231169536.html,116.427766,39.951474,
北京,东城,东直门,东直门内大街,两居,2室1厅1卫,9200.0,74.68,123.19,南 北,贝壳优选,整租·东直门内大街 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1631650440942714880.html,116.426433,39.940983,小区(模糊)
北京,昌平,回龙观,新龙城,一居,1室1厅1卫,4200.0,46.12,91.07,北,贝壳优选,整租·新龙城 1室1厅 北,https://bj.lianjia.com/zufang/BJ1631655256049844224.html,116.327952,40.068571,小区
北京,大兴,枣园,盛嘉华苑,一居,1室1厅1卫,3200.0,59.0,54.24,南 北,贝壳优选,整租·盛嘉华苑 1室1厅 南/北,https://bj.lianjia.com/zufang/BJ1634477073273716736.html,116.353937,39.735602,
北京,丰台,科技园区,广安康润家园东区,三居,3室1厅1卫,6300.0,100.76,62.52,南 北,贝壳优选,整租·广安康润家园东区 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1636210852455514112.html,116.30881,39.797147,
北京,昌平,回龙观,融泽嘉园中路1号院,一居,1室1厅1卫,5600.0,62.64,89.4,南,贝壳优选,整租·融泽嘉园中路1号院 1室1厅 南,https://bj.lianjia.com/zufang/BJ1636564890917273600.html,116.308108,40.068066,
北京,丰台,马家堡,东亚三环,一居,,5000.0,53.72,93.08,北,贝壳优选,整租·东亚三环 2房间 北,https://bj.lianjia.com/zufang/BJ1640663569848598528.html,116.371798,39.836987,小区
北京,通州,临河里,金隅自由筑,两居,,2500.0,55.0,45.45,西,贝壳优选,整租·金隅自由筑 3房间 复式 西,https://bj.lianjia.com/zufang/BJ1642095680560300032.html,,,失败
北京,顺义,马坡,佳和宜园,一居,1室0厅1卫,1800.0,46.99,38.31,南,贝壳优选,整租·佳和宜园 1室0厅 南,https://bj.lianjia.com/zufang/BJ1642527556697587712.html,116.649004,40.173895,
北京,东城,东直门,民安小区东扬威街,两居,2室1厅1卫,9500.0,78.0,121.79,南 北,贝壳优选,整租·民安小区东扬威街 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1644667157637758976.html,116.431967,39.942005,
北京,通州,马驹桥,米拉小镇,两居,2室1厅1卫,4300.0,75.43,57.01,南 西,贝壳优选,整租·米拉小镇 2室1厅 南/西,https://bj.lianjia.com/zufang/BJ1645027440306683904.html,116.54326,39.759258,
北京,西城,广安门,荣丰2008,一居,1室0厅1卫,3800.0,25.19,150.85,东,贝壳优选,整租·荣丰2008 1室0厅 东,https://bj.lianjia.com/zufang/BJ1646481889113931776.html,116.336595,39.894668,小区(模糊)
