城市,区域,板块,小区,户型,户型详情,标题,租金,面积,朝向,品牌,链接
广州,黄埔,科学城,萝岗敏捷广场,一居,1室0厅1卫,整租·萝岗敏捷广场 1室0厅 北,1650,40.00,北,链家/个人,https://gz.lianjia.com/zufang/GZ2033874153345384448.html
广州,黄埔,科学城,萝岗万达广场,一居,1室0厅1卫,整租·萝岗万达广场 1室0厅 西北,3500,72.00,西北,链家/个人,https://gz.lianjia.com/zufang/GZ1832426793525575680.html
广州,黄埔,科学城,萝岗敏捷广场,一居,1室0厅1卫,整租·萝岗敏捷广场 1室0厅 南,900,25.00,南,链家/个人,https://gz.lianjia.com/zufang/GZ2106665844246315008.html
广州,黄埔,沙村,逸富广场,一居,1室0厅1卫,整租·逸富广场 1室0厅 南,900,48.00,南,链家/个人,https://gz.lianjia.com/zufang/GZ2047155118654095360.html
广州,黄埔,科学城,科城山庄锦泽园,一居,1室1厅1卫,整租·科城山庄锦泽园 1室1厅 北/东北,2300,36.00,北 东北,链家/个人,https://gz.lianjia.com/zufang/GZ2048054655333695488.html
广州,黄埔,长岭居,广州龙湖·揽境,一居,1室1厅1卫,整租·广州龙湖·揽境 1室1厅 南,1800,50.00,南,链家/个人,https://gz.lianjia.com/zufang/GZ2020071299480551424.html
广州,黄埔,科学城,兴普紫园,一居,1室1厅1卫,整租·兴普紫园 1室1厅 西,2000,54.00,西,链家/个人,https://gz.lianjia.com/zufang/GZ1942799188987215872.html
广州,黄埔,科学城,归谷科技园,一居,1室0厅1卫,整租·归谷科技园 1室0厅 南,3380,58.00,南,链家/个人,https://gz.lianjia.com/zufang/GZ2035630853991694336.html
广州,黄埔,知识城,高新智创园,一居,1室1厅1卫,整租·高新智创园 1室1厅 东南,1750,43.90,东南,链家/个人,https://gz.lianjia.com/zufang/GZ2083504958077927424.html
广州,黄埔,大沙地,和贵坊,一居,1室0厅1卫,整租·和贵坊 1室0厅 北,1376,37.00,北,链家/个人,https://gz.lianjia.com/zufang/GZ2013195297915666432.html
