城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_珠江新城,距离_体育西路,距离_天河软件园,距离_广州科学城,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
广州,南海,金沙洲,保利锦上,三居,3室1厅2卫,4000.0,87.0,45.98,西北,链家/个人,整租·保利锦上 3室1厅 西北,https://gz.lianjia.com/zufang/FS2099418252198281216.html,113.542107,23.171457,小区,33551.0,32101.0,15716.0,10983.0,10983.0,广州科学城,10.983,,
广州,南海,金沙洲,中海金沙湾C区,三居,3室2厅2卫,5000.0,157.0,31.85,西南,链家/个人,整租·中海金沙湾C区 3室2厅 西南,https://gz.lianjia.com/zufang/FS2105936924463071232.html,113.264499,23.130061,小区(模糊),7095.0,7882.0,24018.0,26334.0,7095.0,珠江新城,7.095,,
广州,荔湾,龙津,龙津东路,两居,2室1厅1卫,2900.0,63.0,46.03,东,链家/个人,整租·龙津东路 2室1厅 东,https://gz.lianjia.com/zufang/GZ1565677665506033664.html,113.25122,23.121753,小区,12791.0,10000.0,25398.0,27714.0,10000.0,体育西路,10.0,,
广州,番禺,莲花山,倚莲半岛花园,三居,3室2厅2卫,1600.0,124.0,12.9,西南,链家/个人,整租·倚莲半岛花园 3室2厅 西南,https://gz.lianjia.com/zufang/GZ1568876597694431232.html,113.491517,22.996887,小区,31203.0,32197.0,31260.0,32671.0,31203.0,珠江新城,31.203,,
广州,越秀,公园前,广卫路,两居,2室1厅1卫,3300.0,60.0,55.0,东南 南,链家/个人,整租·广卫路 2室1厅 东南/南,https://gz.lianjia.com/zufang/GZ1572474330682490880.html,113.267485,23.127372,小区,6756.0,7543.0,24658.0,26974.0,6756.0,珠江新城,6.756,,
广州,增城,荔城西区,实地蔷薇国际,三居,3室2厅2卫,1500.0,96.0,15.62,南,链家/个人,整租·实地蔷薇国际 3室2厅 南,https://gz.lianjia.com/zufang/GZ1577613977804865536.html,113.767392,23.288293,小区(模糊),66947.0,65497.0,50735.0,45547.0,45547.0,广州科学城,45.547,,
广州,增城,朱村,科慧花园,三居,3室2厅2卫,1800.0,91.0,19.78,北,链家/个人,整租·科慧花园 3室2厅 北,https://gz.lianjia.com/zufang/GZ1579763331458138112.html,113.673032,23.280088,小区,51305.0,49855.0,35402.0,33411.0,33411.0,广州科学城,33.411,,
广州,天河,珠江新城东,和御御公馆,三居,3室1厅1卫,17800.0,75.0,237.33,北,链家,整租·和御御公馆 3室1厅 北,https://gz.lianjia.com/zufang/GZ1582716029820207104.html,113.335507,23.013045,小区,15668.0,18519.0,23886.0,26202.0,15668.0,珠江新城,15.668,,
广州,增城,朱村,保利中航城花园一期,三居,3室2厅1卫,1600.0,82.0,19.51,北,链家/个人,整租·保利中航城花园一期 3室2厅 北,https://gz.lianjia.com/zufang/GZ1589136226055618560.html,113.674005,23.272014,小区(模糊),51296.0,49846.0,35393.0,33402.0,33402.0,广州科学城,33.402,,
广州,黄埔,知识城,广州绿地城,一居,1室1厅1卫,4000.0,80.0,50.0,东南 南,链家/个人,整租·广州绿地城 1室1厅 复式 东南/南,https://gz.lianjia.com/zufang/GZ1589161781694038016.html,113.548673,23.322942,小区,41190.0,39740.0,29221.0,27230.0,27230.0,广州科学城,27.23,,
广州,番禺,星河湾,广州星河湾朗心园,三居,3室2厅2卫,13500.0,132.0,102.27,东 北,链家/个人,整租·广州星河湾朗心园 3室2厅 东/北,https://gz.lianjia.com/zufang/GZ1593054903599628288.html,113.33117,23.027433,小区,12897.0,17050.0,22480.0,24796.0,12897.0,珠江新城,12.897,,
广州,增城,增城碧桂园,碧桂园豪园林湖苑,三居,3室2厅2卫,1500.0,117.0,12.82,北,链家/个人,整租·碧桂园豪园林湖苑 3室2厅 北,https://gz.lianjia.com/zufang/GZ1602977919414566912.html,113.820986,23.221437,小区(模糊),66911.0,65461.0,50699.0,45511.0,45511.0,广州科学城,45.511,,
广州,增城,荔城中区,文化路,一居,1室1厅1卫,1500.0,30.0,50.0,西,链家/个人,整租·文化路 1室1厅 西,https://gz.lianjia.com/zufang/GZ1603719930950189056.html,113.810734,23.261452,小区,67785.0,66335.0,51573.0,46385.0,46385.0,广州科学城,46.385,,
广州,越秀,水荫,新华楼,三居,3室1厅1卫,8400.0,140.0,60.0,东,链家,整租·新华楼 3室1厅 东,https://gz.lianjia.com/zufang/GZ1605073200260055040.html,113.311521,23.136071,小区(模糊),4056.0,3485.0,18761.0,21077.0,3485.0,体育西路,3.485,,
广州,越秀,水荫,新华楼,三居,3室1厅1卫,8900.0,155.0,57.42,东,链家,整租·新华楼 3室1厅 东,https://gz.lianjia.com/zufang/GZ1605073641609887744.html,113.311521,23.136071,小区,4056.0,3485.0,18761.0,21077.0,3485.0,体育西路,3.485,,
广州,花都,新区,凯旋国际,一居,1室0厅1卫,1900.0,80.0,23.75,南,链家/个人,整租·凯旋国际 1室0厅 南,https://gz.lianjia.com/zufang/GZ1606634823114293248.html,113.236731,23.407927,小区,45739.0,47997.0,42971.0,45468.0,42971.0,天河软件园,42.971,,
广州,越秀,西门口,惠福西路,三居,3室1厅1卫,2300.0,60.0,38.33,东,链家/个人,整租·惠福西路 3室1厅 东,https://gz.lianjia.com/zufang/GZ1609161663972376576.html,113.259128,23.119982,小区,9352.0,10353.0,26110.0,28426.0,9352.0,珠江新城,9.352,,
