城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度
广州,南海,金沙洲,保利锦上,三居,3室1厅2卫,4000.0,87.0,45.98,西北,链家/个人,整租·保利锦上 3室1厅 西北,https://gz.lianjia.com/zufang/FS2099418252198281216.html,113.542107,23.171457,小区
广州,南海,金沙洲,中海金沙湾C区,三居,3室2厅2卫,5000.0,157.0,31.85,西南,链家/个人,整租·中海金沙湾C区 3室2厅 西南,https://gz.lianjia.com/zufang/FS2105936924463071232.html,113.264499,23.130061,小区(模糊)
广州,荔湾,龙津,龙津东路,两居,2室1厅1卫,2900.0,63.0,46.03,东,链家/个人,整租·龙津东路 2室1厅 东,https://gz.lianjia.com/zufang/GZ1565677665506033664.html,113.25122,23.121753,小区
广州,番禺,莲花山,倚莲半岛花园,三居,3室2厅2卫,1600.0,124.0,12.9,西南,链家/个人,整租·倚莲半岛花园 3室2厅 西南,https://gz.lianjia.com/zufang/GZ1568876597694431232.html,113.491517,22.996887,小区
广州,越秀,公园前,广卫路,两居,2室1厅1卫,3300.0,60.0,55.0,东南 南,链家/个人,整租·广卫路 2室1厅 东南/南,https://gz.lianjia.com/zufang/GZ1572474330682490880.html,113.267485,23.127372,小区
广州,天河,石牌,金山轩,三居,3室1厅1卫,7000.0,96.49,72.55,东,链家,整租·金山轩 3室1厅 东,https://gz.lianjia.com/zufang/GZ1575055579565522944.html,,,失败
广州,增城,荔城西区,实地蔷薇国际,三居,3室2厅2卫,1500.0,96.0,15.62,南,链家/个人,整租·实地蔷薇国际 3室2厅 南,https://gz.lianjia.com/zufang/GZ1577613977804865536.html,113.767392,23.288293,小区(模糊)
广州,增城,朱村,科慧花园,三居,3室2厅2卫,1800.0,91.0,19.78,北,链家/个人,整租·科慧花园 3室2厅 北,https://gz.lianjia.com/zufang/GZ1579763331458138112.html,113.673032,23.280088,小区
广州,天河,珠江新城东,和御御公馆,三居,3室1厅1卫,17800.0,75.0,237.33,北,链家,整租·和御御公馆 3室1厅 北,https://gz.lianjia.com/zufang/GZ1582716029820207104.html,113.335507,23.013045,小区
广州,增城,永宁,金地荔湖城,三居,3室2厅2卫,1800.0,119.9,15.01,南,链家/个人,整租·金地荔湖城 3室2厅 南,https://gz.lianjia.com/zufang/GZ1587003516122038272.html,,,失败
广州,增城,朱村,保利中航城花园一期,三居,3室2厅1卫,1600.0,82.0,19.51,北,链家/个人,整租·保利中航城花园一期 3室2厅 北,https://gz.lianjia.com/zufang/GZ1589136226055618560.html,113.674005,23.272014,小区(模糊)
广州,黄埔,知识城,广州绿地城,一居,1室1厅1卫,4000.0,80.0,50.0,东南 南,链家/个人,整租·广州绿地城 1室1厅 复式 东南/南,https://gz.lianjia.com/zufang/GZ1589161781694038016.html,113.548673,23.322942,小区
广州,番禺,星河湾,广州星河湾朗心园,三居,3室2厅2卫,13500.0,132.0,102.27,东 北,链家/个人,整租·广州星河湾朗心园 3室2厅 东/北,https://gz.lianjia.com/zufang/GZ1593054903599628288.html,113.33117,23.027433,小区
广州,越秀,三元里,广园西路,三居,3室1厅1卫,2700.0,95.0,28.42,南,链家/个人,整租·广园西路 3室1厅 南,https://gz.lianjia.com/zufang/GZ1597904175709028352.html,,,失败
广州,增城,增城碧桂园,碧桂园豪园林湖苑,三居,3室2厅2卫,1500.0,117.0,12.82,北,链家/个人,整租·碧桂园豪园林湖苑 3室2厅 北,https://gz.lianjia.com/zufang/GZ1602977919414566912.html,113.820986,23.221437,小区(模糊)
广州,增城,荔城中区,文化路,一居,1室1厅1卫,1500.0,30.0,50.0,西,链家/个人,整租·文化路 1室1厅 西,https://gz.lianjia.com/zufang/GZ1603719930950189056.html,113.810734,23.261452,小区
广州,越秀,水荫,新华楼,三居,3室1厅1卫,10400.0,165.0,63.03,东,链家,整租·新华楼 3室1厅 东,https://gz.lianjia.com/zufang/GZ1605072657814913024.html,,,失败
