城市,区域,板块,小区,户型,户型详情,标题,租金,面积,朝向,品牌,链接
杭州,拱墅区,石桥,永潮街138号,两居,2室0厅1卫,整租·永潮街138号 2室0厅 南,2300,80.00,南,贝壳优选,https://hz.lianjia.com/zufang/HZ2064913585770856448.html
杭州,拱墅区,桥西,绿城运河郡,两居,2室2厅1卫,整租·绿城运河郡 2室2厅 西北,4800,72.00,西北,链家,https://hz.lianjia.com/zufang/HZ2086343083938545664.html
杭州,拱墅区,石桥,永潮街138号,两居,2室1厅1卫,整租·永潮街138号 2室1厅 南,2500,70.00,南,贝壳优选,https://hz.lianjia.com/zufang/HZ2064912902770393088.html
杭州,拱墅区,石桥,永潮街138号,两居,2室0厅1卫,整租·永潮街138号 2室0厅 南,2500,80.00,南,贝壳优选,https://hz.lianjia.com/zufang/HZ2064914979756179456.html
杭州,拱墅区,半山,吴家墩新人公寓,两居,2室1厅1卫,整租·吴家墩新人公寓 2室1厅 南,2130,70.00,南,贝壳优选,https://hz.lianjia.com/zufang/HZ2067488410376863744.html
杭州,拱墅区,和睦,都景公寓,两居,2室1厅1卫,整租·都景公寓 2室1厅 南,4230,89.00,南,链家/个人,https://hz.lianjia.com/zufang/HZ2083178420535033856.html
杭州,拱墅区,朝晖,朝晖七区,两居,2室1厅1卫,整租·朝晖七区 2室1厅 南,3300,73.87,南,贝壳优选,https://hz.lianjia.com/zufang/HZ2079852389602426880.html
杭州,拱墅区,桥西,绿城运河郡,两居,2室2厅1卫,整租·绿城运河郡 2室2厅 东/西,3500,72.08,东 西,,https://hz.lianjia.com/zufang/HZ2060298974631297024.html
杭州,拱墅区,德胜,盛德嘉苑,两居,2室1厅1卫,整租·盛德嘉苑 2室1厅 南,3800,70.00,南,链家/个人,https://hz.lianjia.com/zufang/HZ2087747552945373184.html
杭州,拱墅区,朝晖,朝晖二区,两居,2室1厅1卫,整租·朝晖二区 2室1厅 南,3200,54.87,南,链家/个人,https://hz.lianjia.com/zufang/HZ2083148733528145920.html
