城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_未来科技城,距离_钱江新城,距离_滨江区,距离_湖滨商圈,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
杭州,富阳区,富春,恩波社区周家弄,两居,2室1厅1卫,1500.0,61.49,24.39,南,链家/个人,整租·恩波社区周家弄 2室1厅 南,https://hz.lianjia.com/zufang/HZ1566621867450564608.html,119.977365,30.162262,小区,16949.0,32015.0,28271.0,33068.0,16949.0,未来科技城,16.949,0,0
杭州,富阳区,富春,中庆润泽院,三居,3室2厅2卫,1200.0,94.0,12.77,东 南,链家/个人,整租·中庆润泽院 3室2厅 东/南,https://hz.lianjia.com/zufang/HZ1568877788243427328.html,119.923506,30.055482,小区,34378.0,42629.0,38885.0,43682.0,34378.0,未来科技城,34.378,1,1
杭州,临安区,临安,中骏骏澜湾,三居,3室2厅2卫,2200.0,89.0,24.72,南,链家/个人,整租·中骏骏澜湾 3室2厅 南,https://hz.lianjia.com/zufang/HZ1570687083347968000.html,119.737658,30.23086,小区,29561.0,53546.0,62351.0,48667.0,29561.0,未来科技城,29.561,0,0
杭州,上城区,三里亭,三里新城桂苑,三居,3室1厅2卫,5000.0,103.27,48.42,南,链家/个人,整租·三里新城桂苑 3室1厅 跃层 南,https://hz.lianjia.com/zufang/HZ1571774699019436032.html,120.191962,30.290679,小区,21811.0,6449.0,12702.0,7137.0,6449.0,钱江新城,6.449,3,3
杭州,临安区,临安,如意云庭,三居,3室2厅2卫,1500.0,30.0,50.0,北,链家/个人,合租·如意云庭 3居室 北卧,https://hz.lianjia.com/zufang/HZ1571792288395296768.html,119.732739,30.235778,小区,29417.0,54206.0,63011.0,49327.0,29417.0,未来科技城,29.417,0,0
杭州,上城区,景芳,景芳新五区,两居,2室1厅1卫,3680.0,58.0,63.45,南 北,链家,整租·景芳新五区 2室1厅 南/北,https://hz.lianjia.com/zufang/HZ1575471416466210816.html,120.211947,30.268815,小区,26718.0,2874.0,9223.0,7255.0,2874.0,钱江新城,2.874,5,1
杭州,上城区,清波,光复路,两居,2室1厅1卫,5000.0,49.15,101.73,南,链家,整租·光复路 2室1厅 南,https://hz.lianjia.com/zufang/HZ1576518094476541952.html,120.163663,30.239259,板块,24991.0,6533.0,7458.0,1782.0,1782.0,湖滨商圈,1.782,4,3
杭州,拱墅区,信义坊,美都广场,一居,1室1厅1卫,3600.0,38.0,94.74,南,链家/个人,整租·美都广场 1室1厅 南,https://hz.lianjia.com/zufang/HZ1576883775202131968.html,120.134002,30.299322,小区,13671.0,14805.0,16134.0,7529.0,7529.0,湖滨商圈,7.529,3,0
杭州,钱塘区,大江东,杭房悦东方,三居,3室2厅2卫,1099.0,95.0,11.57,南,链家/个人,整租·杭房悦东方 3室2厅 南,https://hz.lianjia.com/zufang/HZ1577662411148623872.html,120.557818,30.317639,小区,67159.0,41055.0,47159.0,48227.0,41055.0,钱江新城,41.055,0,0
杭州,临安区,临安,中骏骏澜湾,三居,3室2厅2卫,2200.0,110.0,20.0,南,链家/个人,整租·中骏骏澜湾 3室2厅 南,https://hz.lianjia.com/zufang/HZ1579041359984066560.html,119.738608,30.231025,小区(模糊),29628.0,53613.0,62418.0,48734.0,29628.0,未来科技城,29.628,0,0
