城市,区域,板块,小区,户型,户型详情,标题,租金,面积,朝向,品牌,链接
上海,浦东,金桥,荷三小区,一居,1室2厅1卫,整租·荷三小区 1室2厅 南,4220,57.71,南,贝壳优选,https://sh.lianjia.com/zufang/SH2105309000298921984.html
上海,浦东,北蔡,德圣苑,一居,1室1厅1卫,整租·德圣苑 1室1厅 南,5000,58.49,南,链家,https://sh.lianjia.com/zufang/SH2069767012329979904.html
上海,浦东,塘桥,微山二村,一居,1室1厅1卫,整租·微山二村 1室1厅 南,3925,29.75,南,贝壳优选,https://sh.lianjia.com/zufang/SH2583221034052763648.html
上海,浦东,曹路,星纳家园,一居,1室1厅1卫,整租·星纳家园 1室1厅 南/北,3500,53.10,南 北,贝壳优选,https://sh.lianjia.com/zufang/SH2521085582512766976.html
上海,浦东,洋泾,崮山小区四街坊,一居,1室1厅1卫,整租·崮山小区四街坊 1室1厅 南/北,5100,45.02,南 北,贝壳优选,https://sh.lianjia.com/zufang/SH2422519893409660928.html
上海,浦东,花木,金桂小区,一居,1室1厅1卫,整租·金桂小区 1室1厅 南,5900,43.66,南,链家,https://sh.lianjia.com/zufang/SH2074038834546343936.html
上海,浦东,高东,高东新村,一居,1室1厅1卫,整租·高东新村 1室1厅 南,3700,42.88,南,贝壳优选,https://sh.lianjia.com/zufang/SH2097577512442789888.html
上海,浦东,杨思前滩,杨思水境园,一居,1室0厅1卫,整租·杨思水境园 1室0厅 南,4000,32.10,南,贝壳优选,https://sh.lianjia.com/zufang/SH2103502736023617536.html
上海,浦东,三林,环球翡翠湾花园(公寓),一居,1室2厅1卫,整租·环球翡翠湾花园(公寓) 1室2厅 南,6000,70.67,南,贝壳优选,https://sh.lianjia.com/zufang/SH2101682979712532480.html
上海,浦东,杨思前滩,前滩东方惠礼,一居,1室1厅1卫,整租·前滩东方惠礼 1室1厅 南,10200,70.80,南,贝壳优选,https://sh.lianjia.com/zufang/SH2102024543911542784.html
上海,浦东,南码头,临沂六村,一居,1室1厅1卫,整租·临沂六村 1室1厅 南,4095,37.00,南,贝壳优选,https://sh.lianjia.com/zufang/SH2103111755780587520.html
上海,浦东,世博,济阳一村,一居,1室1厅1卫,整租·济阳一村 1室1厅 南,4100,43.18,南,链家,https://sh.lianjia.com/zufang/SH2074420495981215744.html
