城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_陆家嘴,距离_张江科学城,距离_漕河泾,距离_外滩,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
上海,宝山,淞南,美岸栖庭三期,一居,1室1厅1卫,4300.0,57.0,75.44,南,贝壳优选,整租·美岸栖庭三期 1室1厅 南,https://sh.lianjia.com/zufang/2104792783838511104.html,121.493556,31.32998,小区,12405.0,26879.0,24111.0,16323.0,12405.0,陆家嘴,12.405,,
上海,虹口,鲁迅公园,模一小区,两居,2室1厅1卫,5000.0,49.74,100.52,南 北,贝壳优选,整租·模一小区 2室1厅 南/北,https://sh.lianjia.com/zufang/2104795713199144960.html,121.48112,31.273283,小区,6236.0,24965.0,18048.0,6651.0,6236.0,陆家嘴,6.236,,
上海,虹口,曲阳,东体小区,一居,1室1厅1卫,3780.0,37.0,102.16,南,贝壳优选,整租·东体小区 1室1厅 南,https://sh.lianjia.com/zufang/2104797839853879296.html,121.488505,31.280719,小区,6444.0,24347.0,18801.0,6859.0,6444.0,陆家嘴,6.444,,
上海,静安,南京西路,太平花园,三居,3室2厅2卫,25000.0,123.5,202.43,南 北,链家,整租·太平花园 3室2厅 南/北,https://sh.lianjia.com/zufang/SH1575331223327211520.html,121.45322,31.230802,小区(模糊),6847.0,25103.0,9810.0,4485.0,4485.0,外滩,4.485,,
上海,徐汇,衡山路,西湖公寓,一居,1室0厅1卫,4095.0,14.4,284.38,南,贝壳优选,整租·西湖公寓 1室0厅 南,https://sh.lianjia.com/zufang/SH1603701036663439360.html,121.445529,31.202711,小区,9797.0,23315.0,6466.0,7435.0,6466.0,漕河泾,6.466,,
上海,普陀,甘泉宜川,黄陵小区,两居,2室1厅1卫,5500.0,49.7,110.66,南,贝壳优选,整租·黄陵小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1606216854093692928.html,121.443961,31.259873,板块,9351.0,29058.0,14265.0,8517.0,8517.0,外滩,8.517,,
上海,宝山,顾村,宝翔苑,两居,2室2厅1卫,4500.0,91.98,48.92,南 北,贝壳优选,整租·宝翔苑 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1606535313822318592.html,121.371205,31.356429,小区,26293.0,41691.0,31048.0,24790.0,24790.0,外滩,24.79,,
上海,闵行,春申,华唐苑,两居,2室2厅1卫,5304.0,93.0,57.03,南,贝壳优选,整租·华唐苑 2室2厅 南,https://sh.lianjia.com/zufang/SH1606600517377589248.html,121.433572,31.100818,小区,23137.0,32645.0,8948.0,21882.0,8948.0,漕河泾,8.948,,
上海,徐汇,植物园,鑫龙苑,两居,2室2厅1卫,7350.0,106.72,68.87,南,贝壳优选,整租·鑫龙苑 2室2厅 南,https://sh.lianjia.com/zufang/SH1610123158805807104.html,121.447708,31.158064,小区(模糊),13362.0,23348.0,4668.0,12459.0,4668.0,漕河泾,4.668,,
上海,普陀,长寿路,圣天地服务式公寓,一居,1室0厅1卫,4300.0,32.0,134.38,东南,贝壳优选,整租·圣天地服务式公寓 1室0厅 东南,https://sh.lianjia.com/zufang/SH1610201994062987264.html,121.443675,31.24288,小区,8265.0,27330.0,11400.0,6825.0,6825.0,外滩,6.825,,
上海,浦东,北蔡,花木新村,三居,3室1厅1卫,7800.0,120.0,65.0,南,贝壳优选,整租·花木新村 3室1厅 南,https://sh.lianjia.com/zufang/SH1611225213284909056.html,121.557827,31.195669,小区,8448.0,13152.0,18253.0,10269.0,8448.0,陆家嘴,8.448,,
上海,黄浦,打浦桥,瞿西新村,一居,1室1厅1卫,4900.0,32.91,148.89,南,贝壳优选,整租·瞿西新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1612402259600080896.html,121.470596,31.197127,小区(模糊),8700.0,20884.0,7966.0,5976.0,5976.0,外滩,5.976,,
上海,长宁,仙霞,仙逸小区,一居,1室0厅1卫,4500.0,35.52,126.69,东南,贝壳优选,整租·仙逸小区 1室0厅 东南,https://sh.lianjia.com/zufang/SH1613143574063349760.html,121.392728,31.207036,小区,13685.0,29971.0,6407.0,11323.0,6407.0,漕河泾,6.407,,
上海,虹口,曲阳,大连新村,一居,1室0厅1卫,3300.0,31.26,105.57,北,贝壳优选,整租·大连新村 1室0厅 北,https://sh.lianjia.com/zufang/SH1613185727191842816.html,121.4925,31.272957,小区,5405.0,23585.0,18915.0,5820.0,5405.0,陆家嘴,5.405,,
上海,杨浦,周家嘴路,控江路1197弄,一居,1室1厅1卫,4000.0,62.17,64.34,西南,贝壳优选,整租·控江路1197弄 1室1厅 西南,https://sh.lianjia.com/zufang/SH1615983797512175616.html,121.527763,31.277654,小区(模糊),8273.0,19090.0,24583.0,9646.0,8273.0,陆家嘴,8.273,,
上海,奉贤,南桥,恒盛湖畔豪庭西区,两居,2室2厅1卫,2800.0,110.5,25.34,南 北,贝壳优选,整租·恒盛湖畔豪庭西区 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1617174274336882688.html,121.486036,30.930085,小区,44595.0,56258.0,31119.0,42575.0,31119.0,漕河泾,31.119,,
上海,黄浦,董家渡,长峰馨园,两居,2室2厅1卫,10200.0,82.32,123.91,东南,贝壳优选,整租·长峰馨园 2室2厅 东南,https://sh.lianjia.com/zufang/SH1617527735612080128.html,121.499596,31.213011,小区,6537.0,18830.0,11506.0,3547.0,3547.0,外滩,3.547,,
上海,浦东,惠南,禹洲商业广场,两居,2室1厅1卫,1500.0,56.47,26.56,北,贝壳优选,整租·禹洲商业广场 2室1厅 北,https://sh.lianjia.com/zufang/SH1620244520757100544.html,121.544346,31.221461,行政区,5180.0,14727.0,18606.0,7518.0,5180.0,陆家嘴,5.18,,
上海,杨浦,周家嘴路,隆昌路700弄,两居,2室0厅1卫,4600.0,56.57,81.32,南,贝壳优选,整租·隆昌路700弄 2室0厅 南,https://sh.lianjia.com/zufang/SH1620714561822785536.html,121.53787,31.283085,小区,8213.0,16569.0,25161.0,9586.0,8213.0,陆家嘴,8.213,,
上海,青浦,华新,星尚湾名邸,三居,3室2厅1卫,4000.0,89.0,44.94,南,贝壳优选,整租·星尚湾名邸 3室2厅 南,https://sh.lianjia.com/zufang/SH1626051797208530944.html,121.342643,31.415055,小区,34221.0,50902.0,37113.0,32718.0,32718.0,外滩,32.718,,
上海,虹口,凉城,星苑小区,一居,1室1厅1卫,3600.0,37.83,95.16,南,贝壳优选,整租·星苑小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1630190198572711936.html,121.474852,31.297303,小区,8955.0,25119.0,24131.0,11828.0,8955.0,陆家嘴,8.955,,
上海,黄浦,老西门,老西门新苑,一居,1室2厅1卫,12000.0,84.33,142.3,东 东南,贝壳优选,整租·老西门新苑 1室2厅 东/东南,https://sh.lianjia.com/zufang/SH1633412036123688960.html,121.483165,31.215769,小区,5524.0,19629.0,11040.0,2737.0,2737.0,外滩,2.737,,
上海,闵行,华漕,美邻苑,三居,3室1厅1卫,4600.0,94.8,48.52,南,贝壳优选,整租·美邻苑 3室1厅 南,https://sh.lianjia.com/zufang/SH1635918420178370560.html,121.284808,31.201972,小区,27021.0,49958.0,19751.0,25581.0,19751.0,漕河泾,19.751,,
上海,黄浦,打浦桥,天歌大厦,三居,3室1厅2卫,10000.0,117.32,85.24,东 东南 南,贝壳优选,整租·天歌大厦 3室1厅 东/东南/南,https://sh.lianjia.com/zufang/SH1642861906194595840.html,121.473667,31.230525,小区(模糊),5137.0,22200.0,13704.0,2760.0,2760.0,外滩,2.76,,
