城市,区域,板块,小区,户型,户型详情,标题,租金,面积,朝向,品牌,链接
深圳,罗湖区,百仕达,东乐花园,三居,3室2厅1卫,整租·东乐花园 3室2厅 东,4000,95.00,东,贝壳优选,https://sz.lianjia.com/zufang/SZ1947697496494964736.html
深圳,罗湖区,万象城,世界金融中心,三居,3室2厅1卫,整租·世界金融中心 3室2厅 南,6700,66.70,南,贝壳优选,https://sz.lianjia.com/zufang/SZ2091009918084579328.html
深圳,罗湖区,春风路,金色都汇,三居,3室1厅1卫,整租·金色都汇 3室1厅 南,7300,69.00,南,贝壳优选,https://sz.lianjia.com/zufang/SZ1936742425359810560.html
深圳,罗湖区,翠竹,茂业德弘天下,三居,3室1厅1卫,整租·茂业德弘天下 3室1厅 东南,6900,74.00,东南,链家,https://sz.lianjia.com/zufang/SZ2096542356860829696.html
深圳,罗湖区,莲塘,桐景花园,三居,3室2厅2卫,整租·桐景花园 3室2厅 北,6200,106.00,北,链家,https://sz.lianjia.com/zufang/SZ2095465211203944448.html
深圳,罗湖区,春风路,长丰苑,三居,3室2厅1卫,整租·长丰苑 3室2厅 西,6200,82.20,西,贝壳优选,https://sz.lianjia.com/zufang/SZ1992907918072086528.html
深圳,罗湖区,百仕达,百仕达花园二期,三居,3室2厅2卫,整租·百仕达花园二期 3室2厅 东南,9000,114.00,东南,链家/个人,https://sz.lianjia.com/zufang/SZ2096957085139861504.html
深圳,罗湖区,万象城,幸福里雅居,三居,3室2厅2卫,整租·幸福里雅居 3室2厅 西南,17000,143.00,西南,链家/个人,https://sz.lianjia.com/zufang/SZ2099525155440033792.html
深圳,罗湖区,万象城,都市名园,三居,3室2厅1卫,整租·都市名园 3室2厅 西北,9500,106.00,西北,链家/个人,https://sz.lianjia.com/zufang/SZ2100180642649079808.html
深圳,罗湖区,螺岭,聚龙大厦,三居,3室1厅1卫,整租·聚龙大厦 3室1厅 东南,4400,57.00,东南,链家/个人,https://sz.lianjia.com/zufang/SZ2097244265913516032.html
深圳,罗湖区,春风路,东海大厦,三居,3室1厅1卫,整租·东海大厦 3室1厅 南,6500,82.49,南,链家/个人,https://sz.lianjia.com/zufang/SZ2099489846836854784.html
深圳,罗湖区,万象城,都市名园,三居,3室2厅2卫,整租·都市名园 3室2厅 东,9500,112.60,东,链家/个人,https://sz.lianjia.com/zufang/SZ2096832037280284672.html
深圳,罗湖区,莲塘,梧桐苑,三居,3室1厅1卫,整租·梧桐苑 3室1厅 西北,4800,85.24,西北,链家,https://sz.lianjia.com/zufang/SZ2097339496524677120.html
深圳,罗湖区,莲塘,景福花园,三居,3室2厅2卫,整租·景福花园 3室2厅 东南,9000,104.00,东南,链家/个人,https://sz.lianjia.com/zufang/SZ2095089215296503808.html
深圳,大鹏新区,大鹏半岛,PURE33璞岸,两居,2室2厅1卫,整租·PURE33璞岸 2室2厅 西,2000,79.47,西,链家/个人,https://sz.lianjia.com/zufang/SZ2051500405229092864.html
深圳,大鹏新区,大鹏半岛,保利香槟苑,两居,2室2厅2卫,整租·保利香槟苑  2室2厅 东南,3800,100.00,东南,链家/个人,https://sz.lianjia.com/zufang/SZ2099816446883266560.html
