城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_南山科技园,距离_深圳湾,距离_福田CBD,距离_坂田科技城,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
深圳,坪山区,坪山,龙光玖云著,两居,2室1厅1卫,2300.0,36.83,62.45,东南,贝壳优选,整租·龙光玖云著 2室1厅 东南,https://sz.lianjia.com/zufang/2104797488950018048.html,114.331072,22.680119,小区,50326.0,50477.0,39629.0,33078.0,33078.0,坂田科技城,33.078,1,1
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅2卫,32000.0,201.44,158.86,北,链家,整租·东海国际公寓 3室2厅 北,https://sz.lianjia.com/zufang/SZ1586219881513091072.html,114.020414,22.536365,小区,10148.0,9487.0,5307.0,18970.0,5307.0,福田CBD,5.307,6,6
深圳,龙岗区,布吉南岭,大芬艺术大厦,一居,1室0厅1卫,3000.0,38.0,78.95,南 北,链家,整租·大芬艺术大厦 1室0厅 南/北,https://sz.lianjia.com/zufang/SZ1590277609701244928.html,114.135152,22.606852,小区,25727.0,27346.0,16157.0,10648.0,10648.0,坂田科技城,10.648,2,5
深圳,龙华区,观澜,深业泰然观澜玫瑰苑,三居,3室1厅1卫,5500.0,89.0,61.8,南,链家/个人,整租·深业泰然观澜玫瑰苑 3室1厅 南,https://sz.lianjia.com/zufang/SZ1609043508226686976.html,114.056203,22.715837,小区,37234.0,38838.0,30266.0,17350.0,17350.0,坂田科技城,17.35,1,3
深圳,福田区,园岭,园岭新村,三居,3室2厅1卫,5000.0,79.0,63.29,南,链家/个人,整租·园岭新村 3室2厅 南,https://sz.lianjia.com/zufang/SZ1610627935717294080.html,114.100381,22.551384,小区,18928.0,18273.0,7779.0,12708.0,7779.0,福田CBD,7.779,4,5
深圳,盐田区,盐田港,倚山时代雅居,三居,3室2厅1卫,3700.0,48.0,77.08,南,链家/个人,整租·倚山时代雅居 3室2厅 复式 南,https://sz.lianjia.com/zufang/SZ1639265741905592320.html,113.956086,22.687174,小区(模糊),24076.0,29258.0,24891.0,18619.0,18619.0,坂田科技城,18.619,0,0
深圳,罗湖区,莲塘,港莲二村,三居,3室1厅1卫,4000.0,86.5,46.24,南,链家,整租·港莲二村 3室1厅 南,https://sz.lianjia.com/zufang/SZ1643593012296548352.html,114.174629,22.558864,小区,29983.0,27789.0,16941.0,23629.0,16941.0,福田CBD,16.941,1,2
深圳,福田区,新洲,嘉洲豪园,三居,3室2厅2卫,9900.0,103.79,95.38,南,链家/个人,整租·嘉洲豪园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1643634407526891520.html,114.044414,22.527265,小区,13333.0,11139.0,1823.0,21221.0,1823.0,福田CBD,1.823,3,3
深圳,龙岗区,横岗,瑞泽佳园,一居,1室0厅0卫,2600.0,59.29,43.85,北,链家/个人,整租·瑞泽佳园 1室0厅 北,https://sz.lianjia.com/zufang/SZ1648552045113769984.html,114.182355,22.644786,小区(模糊),33193.0,35103.0,24255.0,16642.0,16642.0,坂田科技城,16.642,0,2
深圳,罗湖区,地王,中航凯特公寓,两居,2室1厅1卫,4800.0,60.0,80.0,东,链家,整租·中航凯特公寓 2室1厅 东,https://sz.lianjia.com/zufang/SZ1648686633718906880.html,114.1089,22.551453,小区,20208.0,19167.0,8319.0,13988.0,8319.0,福田CBD,8.319,5,8
