城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度
深圳,坪山区,坪山,龙光玖云著,两居,2室1厅1卫,2300.0,36.83,62.45,东南,贝壳优选,整租·龙光玖云著 2室1厅 东南,https://sz.lianjia.com/zufang/2104797488950018048.html,114.331072,22.680119,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅2卫,32000.0,201.44,158.86,北,链家,整租·东海国际公寓 3室2厅 北,https://sz.lianjia.com/zufang/SZ1586219881513091072.html,114.020414,22.536365,小区
深圳,龙岗区,布吉南岭,大芬艺术大厦,一居,1室0厅1卫,3000.0,38.0,78.95,南 北,链家,整租·大芬艺术大厦 1室0厅 南/北,https://sz.lianjia.com/zufang/SZ1590277609701244928.html,114.135152,22.606852,小区
深圳,龙华区,观澜,深业泰然观澜玫瑰苑,三居,3室1厅1卫,5500.0,89.0,61.8,南,链家/个人,整租·深业泰然观澜玫瑰苑 3室1厅 南,https://sz.lianjia.com/zufang/SZ1609043508226686976.html,114.056203,22.715837,小区
深圳,福田区,园岭,园岭新村,三居,3室2厅1卫,5000.0,79.0,63.29,南,链家/个人,整租·园岭新村 3室2厅 南,https://sz.lianjia.com/zufang/SZ1610627935717294080.html,114.100381,22.551384,小区
深圳,罗湖区,洪湖,合正锦湖魅力城,三居,3室2厅2卫,10000.0,89.44,111.81,东南,链家,整租·合正锦湖魅力城 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1611368768594771968.html,,,失败
深圳,盐田区,盐田港,倚山时代雅居,三居,3室2厅1卫,3700.0,48.0,77.08,南,链家/个人,整租·倚山时代雅居 3室2厅 复式 南,https://sz.lianjia.com/zufang/SZ1639265741905592320.html,113.956086,22.687174,小区(模糊)
深圳,罗湖区,莲塘,港莲二村,三居,3室1厅1卫,4000.0,86.5,46.24,南,链家,整租·港莲二村 3室1厅 南,https://sz.lianjia.com/zufang/SZ1643593012296548352.html,114.174629,22.558864,小区
深圳,福田区,新洲,嘉洲豪园,三居,3室2厅2卫,9900.0,103.79,95.38,南,链家/个人,整租·嘉洲豪园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1643634407526891520.html,114.044414,22.527265,小区
深圳,南山区,前海,泛海城市广场,两居,2室2厅1卫,8888.0,67.0,132.66,东南,链家/个人,整租·泛海城市广场 2室2厅 东南,https://sz.lianjia.com/zufang/SZ1648235578845560832.html,,,失败
深圳,龙岗区,横岗,瑞泽佳园,一居,1室0厅0卫,2600.0,59.29,43.85,北,链家/个人,整租·瑞泽佳园 1室0厅 北,https://sz.lianjia.com/zufang/SZ1648552045113769984.html,114.182355,22.644786,小区(模糊)
深圳,罗湖区,地王,中航凯特公寓,两居,2室1厅1卫,4800.0,60.0,80.0,东,链家,整租·中航凯特公寓 2室1厅 东,https://sz.lianjia.com/zufang/SZ1648686633718906880.html,114.1089,22.551453,小区
深圳,福田区,香蜜湖,东海花园二期福禄居,三居,3室2厅2卫,16000.0,117.0,136.75,南,链家,整租·东海花园二期福禄居 3室2厅 南,https://sz.lianjia.com/zufang/SZ1649668525775650816.html,114.023865,22.538568,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅3卫,65000.0,250.0,260.0,南 北,链家,整租·东海国际公寓 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1653738844673015808.html,,,失败
深圳,福田区,华强北,桑达新村,三居,3室2厅1卫,6900.0,98.0,70.41,南 北,链家/个人,整租·桑达新村 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1667432632234803200.html,114.089409,22.542066,小区(模糊)
深圳,盐田区,梅沙,水云间雅居,一居,1室1厅1卫,3000.0,59.0,50.85,东南,链家/个人,整租·水云间雅居 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1673286549690646528.html,114.31449,22.599091,小区
深圳,福田区,车公庙,都市阳光名苑,三居,3室1厅1卫,12700.0,105.2,120.72,北,链家/个人,整租·都市阳光名苑 3室1厅 北,https://sz.lianjia.com/zufang/SZ1681688079007481856.html,114.025398,22.53482,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅3卫,38000.0,203.0,187.19,南,链家,整租·东海国际公寓 3室2厅 南,https://sz.lianjia.com/zufang/SZ1683689340607135744.html,,,失败
深圳,盐田区,沙头角,建工大厦,一居,1室0厅0卫,3000.0,33.0,90.91,西南,链家,整租·建工大厦 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1684818587665039360.html,114.227814,22.550781,小区
深圳,盐田区,沙头角,建工大厦,一居,1室0厅0卫,3200.0,33.0,96.97,西北,链家,整租·建工大厦 1室0厅 西北,https://sz.lianjia.com/zufang/SZ1684821096169209856.html,114.227814,22.550781,小区
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3250.0,28.58,113.72,东,贝壳优选,整租·联城美园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1685553069846167552.html,114.128622,22.543379,小区
深圳,福田区,香蜜湖,东海国际公寓,两居,2室2厅2卫,33000.0,122.0,270.49,北,链家,整租·东海国际公寓 2室2厅 北,https://sz.lianjia.com/zufang/SZ1689130706619334656.html,114.055198,22.520922,行政区
深圳,福田区,景田,景发花园,三居,3室1厅1卫,6000.0,88.0,68.18,南,链家,整租·景发花园 3室1厅 南,https://sz.lianjia.com/zufang/SZ1689271029295218688.html,114.039208,22.550703,小区
深圳,南山区,华侨城,东组团,三居,3室2厅1卫,7000.0,89.0,78.65,南,链家,整租·东组团 3室2厅 南,https://sz.lianjia.com/zufang/SZ1689492803077275648.html,113.989736,22.537779,小区
深圳,盐田区,梅沙,倚天阁,一居,1室1厅1卫,5000.0,79.96,62.53,南,链家/个人,整租·倚天阁 1室1厅 南,https://sz.lianjia.com/zufang/SZ1689551221687320576.html,114.236739,22.557001,行政区
深圳,盐田区,沙头角,太平洋小区,三居,3室2厅1卫,5200.0,89.84,57.88,东南,链家,整租·太平洋小区 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1697193884402057216.html,114.236739,22.557001,小区
深圳,福田区,福田中心,彩天名苑,两居,2室1厅1卫,6000.0,60.0,100.0,东,贝壳优选,整租·彩天名苑 2室1厅 东,https://sz.lianjia.com/zufang/SZ1702729839997353984.html,114.068496,22.537101,小区
深圳,宝安区,新安,黄金大厦,一居,1室1厅1卫,4100.0,47.88,85.63,东南,贝壳优选,整租·黄金大厦 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1702996678451134464.html,113.889132,22.575683,小区(模糊)
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3200.0,25.38,126.08,南,贝壳优选,整租·联城美园 1室0厅 南,https://sz.lianjia.com/zufang/SZ1708139582119215104.html,114.128622,22.543379,小区
深圳,南山区,前海,佳兆业前海广场一期,三居,3室1厅1卫,2500.0,15.0,166.67,东南,链家/个人,合租·佳兆业前海广场一期 3居室 东南卧,https://sz.lianjia.com/zufang/SZ1709859428498407424.html,113.886434,22.494063,小区
深圳,罗湖区,布心,比华利山庄,两居,2室2厅2卫,6800.0,75.0,90.67,南,链家/个人,整租·比华利山庄 2室2厅 南,https://sz.lianjia.com/zufang/SZ1709878596857757696.html,114.117006,22.584667,板块
深圳,福田区,景田,新景苑,三居,3室2厅2卫,9200.0,108.0,85.19,南,链家/个人,整租·新景苑 3室2厅 南,https://sz.lianjia.com/zufang/SZ1710231880944582656.html,114.04825,22.548799,小区
深圳,盐田区,盐田港,金山碧海花园,三居,3室2厅2卫,7000.0,117.0,59.83,东南,链家,整租·金山碧海花园 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1710663203337273344.html,114.239632,22.588589,小区
深圳,龙岗区,坂田,德润荣君府,一居,1室1厅1卫,3700.0,44.05,84.0,南,贝壳优选,整租·德润荣君府 1室1厅 南,https://sz.lianjia.com/zufang/SZ1717949330574278656.html,114.246884,22.720889,行政区
深圳,盐田区,梅沙,万科东海岸二期,两居,2室2厅1卫,5500.0,86.0,63.95,南,链家/个人,整租·万科东海岸二期 2室2厅 南,https://sz.lianjia.com/zufang/SZ1720679296072155136.html,114.297468,22.60125,小区
深圳,罗湖区,春风路,联城美园,一居,1室1厅1卫,4100.0,36.78,111.47,北,贝壳优选,整租·联城美园 1室1厅 北,https://sz.lianjia.com/zufang/SZ1723728036156669952.html,114.128622,22.543379,小区
深圳,南山区,前海,招商前海·领尚公馆,一居,1室0厅1卫,5100.0,41.0,124.39,东南,贝壳优选,整租·招商前海·领尚公馆 1室0厅 东南,https://sz.lianjia.com/zufang/SZ1725001188639768576.html,113.930478,22.533191,行政区
深圳,盐田区,沙头角,天丰公寓,三居,3室2厅1卫,3500.0,89.9,38.93,东南,链家/个人,整租·天丰公寓 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1725042606817148928.html,113.82656,22.724682,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅2卫,38000.0,205.0,185.37,南,链家,整租·东海国际公寓 3室2厅 南,https://sz.lianjia.com/zufang/SZ1731949986767175680.html,114.055198,22.520922,行政区
深圳,盐田区,沙头角,诗宁别墅,两居,2室2厅1卫,4000.0,70.0,57.14,东,链家/个人,整租·诗宁别墅 2室2厅 东,https://sz.lianjia.com/zufang/SZ1733126876949381120.html,114.234367,22.549842,小区
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3300.0,28.49,115.83,西南,贝壳优选,整租·联城美园 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1734110839457185792.html,114.128622,22.543379,小区
深圳,盐田区,梅沙,万科东海岸一期,三居,3室2厅2卫,5500.0,117.0,47.01,东南,链家/个人,整租·万科东海岸一期 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1736707077339873280.html,114.236739,22.557001,行政区
深圳,龙岗区,大运新城,世茂深港国际中心,两居,2室1厅1卫,3200.0,62.0,51.61,南,链家,整租·世茂深港国际中心 2室1厅 南,https://sz.lianjia.com/zufang/SZ1737765471282790400.html,114.21298,22.700032,小区
深圳,大鹏新区,大鹏半岛,金众云山栖,三居,3室2厅1卫,3800.0,83.0,45.78,南,链家/个人,整租·金众云山栖 3室2厅 南,https://sz.lianjia.com/zufang/SZ1739307278198112256.html,114.408761,22.63787,小区
深圳,宝安区,西乡,兴华花园,三居,3室2厅1卫,3800.0,86.0,44.19,南,链家/个人,整租·兴华花园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1739575691336220672.html,113.883831,22.554986,行政区
深圳,罗湖区,百仕达,东乐花园,两居,2室1厅1卫,4500.0,81.89,54.95,南,链家/个人,整租·东乐花园 2室1厅 南,https://sz.lianjia.com/zufang/SZ1740330899792199680.html,114.140062,22.571676,小区
深圳,大鹏新区,大鹏半岛,承翰半山海,三居,3室2厅2卫,3800.0,79.0,48.1,东南,链家/个人,整租·承翰半山海 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1743126682409107456.html,114.41291,22.615492,小区
深圳,盐田区,沙头角,倚山花园二期,两居,2室2厅1卫,6000.0,76.0,78.95,西南,链家,整租·倚山花园二期 2室2厅 西南,https://sz.lianjia.com/zufang/SZ1743876982992535552.html,114.23108,22.543475,板块
深圳,宝安区,新安,中粮创芯公园,一居,1室1厅1卫,5000.0,44.56,112.21,东南,贝壳优选,整租·中粮创芯公园 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1743972472157372416.html,113.917123,22.578971,小区
深圳,龙岗区,龙岗中心城,风临国际东座,一居,1室1厅1卫,1900.0,47.62,39.9,南,贝壳优选,整租·风临国际东座 1室1厅 南,https://sz.lianjia.com/zufang/SZ1746054361869451264.html,114.246884,22.720889,小区
深圳,龙岗区,坂田,佳兆业中央广场六期,一居,1室1厅1卫,3300.0,49.6,66.53,东北,贝壳优选,整租·佳兆业中央广场六期 1室1厅 东北,https://sz.lianjia.com/zufang/SZ1750513760012861440.html,114.246884,22.720889,行政区
深圳,南山区,大学城,塘朗城,一居,1室1厅1卫,4600.0,33.98,135.37,南,贝壳优选,整租·塘朗城 1室1厅 南,https://sz.lianjia.com/zufang/SZ1752977424968056832.html,114.000556,22.589183,小区
深圳,龙华区,梅林关,滢水山庄二区,三居,3室2厅1卫,4500.0,98.0,45.92,南 北,链家/个人,整租·滢水山庄二区 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1753030025906487296.html,114.053393,22.600228,小区
深圳,南山区,西丽,万科云城,一居,1室1厅1卫,4800.0,28.75,166.96,北,贝壳优选,整租·万科云城 1室1厅 北,https://sz.lianjia.com/zufang/SZ1753606270083923968.html,113.930478,22.533191,行政区
深圳,龙岗区,大运新城,世茂深港国际中心,一居,1室0厅1卫,2300.0,37.71,60.99,北,贝壳优选,整租·世茂深港国际中心 1室0厅 北,https://sz.lianjia.com/zufang/SZ1753624893406052352.html,114.21298,22.700032,小区
深圳,龙岗区,横岗,瑞泽佳园,一居,1室0厅0卫,3800.0,60.0,63.33,东,链家/个人,整租·瑞泽佳园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1754160578865135616.html,114.182355,22.644786,小区
深圳,盐田区,盐田港,中海半山溪谷花园,两居,2室2厅1卫,3000.0,73.0,41.1,东南,链家/个人,整租·中海半山溪谷花园 2室2厅 东南,https://sz.lianjia.com/zufang/SZ1757953762309177344.html,114.236739,22.557001,行政区
深圳,盐田区,沙头角,鹏湾花园一村,三居,3室2厅1卫,3900.0,85.0,45.88,东南,链家/个人,整租·鹏湾花园一村 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1761674504041398272.html,114.236351,22.55311,小区
深圳,福田区,新洲,绿景新苑,两居,2室1厅1卫,8000.0,85.88,93.15,南,链家,整租·绿景新苑 2室1厅 南,https://sz.lianjia.com/zufang/SZ1761986136290361344.html,114.046024,22.523936,小区
