板块,单价均价,总价均价,总价中位数,房源量,类型
新天地,194.1,19623.6,15000.0,71,最贵
淮海中路,185.2,7576.4,5800.0,79,最贵
建国西路,183.2,10549.7,7550.0,78,最贵
衡山路,180.2,10688.6,7700.0,126,最贵
静安寺,178.8,9254.3,7500.0,103,最贵
人民广场,174.4,6906.3,5800.0,41,最贵
南京西路,165.6,10473.3,8000.0,238,最贵
豫园,157.2,15878.5,11000.0,41,最贵
徐汇滨江,152.8,17536.6,17000.0,37,最贵
南京东路,149.6,7746.1,6100.0,34,最贵
陈家镇,18.4,1753.0,1600.0,113,最亲民
崇明新城,23.0,1664.4,1500.0,110,最亲民
书院镇,25.6,2220.8,2100.0,24,最亲民
泥城镇,25.9,2258.8,2300.0,51,最亲民
金山新城,27.0,2114.7,2000.0,284,最亲民
海湾,27.5,2613.7,2550.0,50,最亲民
外冈,29.7,3205.2,2662.5,26,最亲民
奉贤金汇,30.0,2495.4,2500.0,102,最亲民
南桥,31.2,2419.9,2300.0,389,最亲民
惠南,31.4,2666.8,2600.0,164,最亲民
