板块,单价均价,总价均价,总价中位数,房源量,类型
地安门,222.0,8683.7,7500.0,27,最贵
交道口,198.9,7467.6,5500.0,37,最贵
金融街,185.1,14930.5,11000.0,202,最贵
东四,178.0,5039.7,4500.0,63,最贵
西单,173.8,12845.5,9900.0,66,最贵
西四,169.6,9256.5,8500.0,62,最贵
金宝街,166.6,10747.6,8000.0,21,最贵
灯市口,156.3,8239.8,7575.0,44,最贵
官园,155.5,12884.1,10500.0,66,最贵
宣武门,155.1,12577.8,8500.0,70,最贵
古北口镇,19.7,1115.9,1100.0,22,最亲民
大兴机场空港,22.6,1517.8,1400.0,41,最亲民
城关,23.1,1695.3,1500.0,131,最亲民
燕山,23.6,1337.0,1250.0,65,最亲民
鼓楼街道,23.7,2075.7,1800.0,316,最亲民
窦店,24.0,2291.0,2200.0,150,最亲民
果园街道,24.3,2037.8,2000.0,71,最亲民
溪翁庄镇,24.6,2901.4,1500.0,81,最亲民
大兴新机场洋房别墅区,25.7,2798.9,2300.0,38,最亲民
密云镇,27.7,2124.9,2000.0,59,最亲民
