板块,单价均价,总价均价,总价中位数,房源量,类型
珠江新城中,115.4,10714.7,7800.0,128,最贵
珠江新城西,96.1,8194.9,6800.0,140,最贵
珠江新城东,93.4,8511.6,6550.0,166,最贵
金融城,90.6,5671.2,4800.0,30,最贵
琶洲东,90.3,7095.2,5950.0,168,最贵
龙口东,83.0,4603.3,4300.0,45,最贵
石牌,80.9,4854.4,4500.0,92,最贵
东山口,76.6,5355.8,4500.0,157,最贵
东风东,75.1,5515.6,5000.0,102,最贵
体育中心,75.0,5740.4,4800.0,99,最贵
石滩镇,13.3,1299.0,1200.0,184,最亲民
神岗镇,16.6,1649.2,1600.0,124,最亲民
增城碧桂园,17.7,1249.9,1200.0,74,最亲民
温泉镇,18.0,1546.7,1400.0,150,最亲民
新城片区,18.0,1745.5,1900.0,22,最亲民
江埔街,18.8,1771.4,1650.0,155,最亲民
赤草,18.9,2026.1,2000.0,46,最亲民
旧区,19.4,1599.2,1500.0,422,最亲民
荔城西区,20.4,1794.6,1710.0,105,最亲民
中新镇,21.1,1850.7,1800.0,154,最亲民
