板块,单价均价,总价均价,总价中位数,房源量,类型
奥体,89.2,8130.5,6100.0,145,最贵
钱江新城,83.3,11784.5,7500.0,173,最贵
湖滨,81.2,4678.6,4000.0,85,最贵
清波,78.8,4444.7,3950.0,76,最贵
滨江区政府,78.4,5372.5,4600.0,689,最贵
南星,75.3,9140.6,7500.0,119,最贵
众安桥,75.2,4849.0,3700.0,72,最贵
武林,73.8,4030.1,3700.0,118,最贵
天水,73.6,5122.3,3550.0,62,最贵
黄龙,73.1,5250.9,4325.0,180,最贵
江南新城,17.6,1717.6,1600.0,154,最亲民
临安,23.3,1638.8,1500.0,1462,最亲民
东洲,23.7,2255.7,2300.0,71,最亲民
瓶窑,23.9,2189.2,2100.0,77,最亲民
富春,26.1,1852.2,1600.0,1168,最亲民
青山湖科技城,26.4,1923.5,1600.0,616,最亲民
仁和,26.7,2428.1,2500.0,73,最亲民
桐庐,26.8,2204.2,1800.0,552,最亲民
塘栖,27.5,1570.3,1500.0,299,最亲民
瓜沥,30.5,2037.9,2000.0,21,最亲民
