板块,单价均价,总价均价,总价中位数,房源量,类型
深圳湾,223.4,29581.3,17500.0,75,最贵
红树湾,171.9,18088.2,16000.0,45,最贵
香蜜湖,141.0,15443.1,12500.0,154,最贵
华侨城,128.1,11535.0,8550.0,164,最贵
上下沙,126.9,7588.1,7000.0,104,最贵
福田中心,125.2,10802.0,8800.0,259,最贵
石厦,116.1,7589.0,7000.0,182,最贵
华强北,114.3,6339.2,6000.0,150,最贵
蛇口,114.2,9357.5,7500.0,323,最贵
科技园,113.8,7937.0,6600.0,338,最贵
大鹏半岛,40.7,2799.8,2800.0,100,最亲民
龙岗双龙,41.2,2961.1,3000.0,163,最亲民
坪地,41.6,2873.3,3200.0,67,最亲民
坪山,46.7,2910.3,2920.0,631,最亲民
松岗,49.5,3481.7,3400.0,52,最亲民
龙岗宝荷,51.5,2687.7,2500.0,240,最亲民
龙岗中心城,52.7,3144.4,3000.0,616,最亲民
公明,53.8,3044.1,2800.0,203,最亲民
布吉大芬,55.7,3649.6,3600.0,172,最亲民
梅沙,56.1,4629.7,4150.0,136,最亲民
