,,租金,租金,租金,租金,租金,单位租金,单位租金,单位租金,单位租金
,,均价,最高价,最低价,中位数,数量,均价,最高价,最低价,中位数
城市,户型,,,,,,,,,
上海,一居,4510.5,48000.0,500.0,4200.0,6807,105.2,1090.9,7.4,101.0
上海,两居,5878.6,80000.0,500.0,5000.0,9380,79.9,440.9,5.7,76.4
上海,三居,8656.0,80000.0,500.0,6600.0,5609,72.9,396.0,3.7,64.2
北京,一居,4795.5,60000.0,500.0,4400.0,8356,92.2,1160.5,6.2,86.9
北京,两居,5370.7,80000.0,600.0,4700.0,12643,71.2,762.7,8.5,62.3
北京,三居,8665.6,75000.0,800.0,6970.0,7927,73.1,675.2,7.9,65.2
广州,一居,2600.7,65500.0,800.0,1900.0,7096,55.2,590.6,5.4,49.2
广州,两居,3083.3,101500.0,700.0,2600.0,8201,47.2,500.0,7.5,44.4
广州,三居,3961.8,45000.0,800.0,3200.0,8802,39.8,290.0,6.5,35.2
杭州,一居,3285.5,276460.0,400.0,2380.0,7241,56.5,387.5,5.3,53.1
杭州,两居,3041.5,50400.0,500.0,2800.0,8670,48.2,301.1,2.0,46.2
杭州,三居,3947.1,220000.0,450.0,3300.0,9494,42.2,257.7,4.8,38.7
深圳,一居,3943.0,100500.0,1300.0,3300.0,3832,92.8,416.7,22.4,87.5
深圳,两居,5715.9,68000.0,1480.0,5172.5,4620,85.8,355.1,16.3,81.6
深圳,三居,7273.0,160000.0,1200.0,6000.0,5952,75.4,520.8,8.1,69.6
