城市,朝向,单位租金_均价,单位租金_最高价,单位租金_最低价,单位租金_中位数,房源量
上海,东,105.2,1090.9,16.0,97.0,471
上海,南,84.4,1090.9,3.7,79.4,20039
上海,西,107.2,364.5,16.0,99.0,321
上海,北,80.2,1090.9,4.5,71.3,3959
上海,东南,95.7,440.9,5.8,94.4,520
上海,东北,97.9,296.5,3.9,95.9,60
上海,西南,106.2,302.6,3.9,101.6,318
上海,西北,111.1,296.5,12.2,105.2,108
北京,东,91.0,1160.5,11.1,86.0,3560
北京,南,72.2,762.7,6.2,62.2,19994
北京,西,89.3,1160.5,15.4,84.2,3075
北京,北,69.6,358.7,6.2,60.0,14842
北京,东南,85.3,294.1,17.2,81.4,1197
北京,东北,89.3,234.4,27.9,84.5,483
北京,西南,85.6,250.8,18.9,80.7,978
北京,西北,84.5,283.6,17.5,78.0,601
广州,东,54.7,590.6,8.6,50.0,2444
广州,南,44.9,590.6,5.4,40.0,11871
广州,西,54.5,560.0,9.9,49.3,907
广州,北,46.2,290.0,6.6,41.0,5294
广州,东南,48.9,590.6,6.5,45.0,3880
广州,东北,44.7,333.3,7.5,41.2,994
广州,西南,49.9,590.6,9.7,46.4,1257
广州,西北,49.8,270.8,9.2,46.2,566
杭州,东,56.5,320.0,6.9,52.9,1168
杭州,南,46.9,329.0,2.0,44.5,20575
杭州,西,58.8,387.5,5.3,54.3,813
杭州,北,51.0,247.8,6.0,47.7,3076
杭州,东南,46.1,327.6,6.6,41.0,1125
杭州,东北,58.4,151.2,15.4,54.3,145
杭州,西南,51.2,189.7,9.8,47.4,432
杭州,西北,54.2,121.4,19.2,49.5,209
深圳,东,92.9,511.4,14.1,85.7,1101
深圳,南,81.7,520.8,8.1,75.6,6018
深圳,西,98.6,298.3,25.2,91.4,468
深圳,北,87.0,416.7,15.4,81.1,1657
深圳,东南,78.4,483.4,16.3,71.4,3522
深圳,东北,87.5,320.0,8.1,80.8,683
深圳,西南,83.8,338.2,14.6,77.6,1470
深圳,西北,82.9,250.0,22.8,78.5,636
