,距离分组,房源数,平均租金,租金标准差,最低租金,最高租金,平均单位租金,单位租金标准差
0,0.0,582,11941.21,9552.67,750.0,80000.0,126.98,47.66
1,2.0,1341,10430.71,10222.75,1700.0,240000.0,123.11,40.33
2,4.0,2395,8800.31,6051.23,1400.0,70000.0,120.33,36.14
3,6.0,1714,8379.3,5260.55,1500.0,55000.0,110.85,36.25
4,8.0,1937,8220.41,4983.35,1500.0,60000.0,108.08,38.75
5,10.0,1733,7169.88,3667.56,500.0,35000.0,91.32,29.76
6,12.0,2227,6913.76,3855.89,2320.0,52012.0,87.7,29.2
7,14.0,1338,6040.96,3196.51,2000.0,70000.0,74.43,23.24
8,16.0,1395,5496.53,2727.76,550.0,49000.0,68.3,20.15
9,18.0,1627,5497.85,3121.9,1600.0,36000.0,65.9,20.89
10,20.0,1593,4621.82,2497.2,1200.0,45770.0,56.78,17.39
11,22.0,1188,4057.7,1574.69,1100.0,24000.0,52.69,13.93
12,24.0,742,4193.3,2108.63,800.0,20500.0,56.22,15.43
13,26.0,654,3723.22,1291.25,1700.0,10000.0,50.78,13.17
14,28.0,1210,3406.79,1708.86,1200.0,33190.0,47.72,13.23
15,30.0,917,3589.64,1995.85,1000.0,30000.0,44.87,15.23
16,32.0,1294,3526.6,2111.81,1100.0,48000.0,48.46,19.65
17,34.0,558,3774.8,4453.12,1500.0,75000.0,42.85,23.78
18,36.0,256,3284.41,1396.43,1500.0,11700.0,40.95,12.2
19,38.0,256,2950.92,1055.27,1300.0,8000.0,40.26,14.7
20,40.0,99,2935.14,982.26,1000.0,6500.0,38.89,16.43
21,42.0,180,2476.83,1254.84,1000.0,12450.0,26.9,10.19
22,44.0,231,2758.01,1926.47,850.0,20500.0,34.5,24.16
23,46.0,185,2197.56,921.98,900.0,6800.0,26.21,6.6
24,48.0,169,2077.52,940.16,600.0,9500.0,27.7,13.67
25,50.0,80,1833.36,1109.64,600.0,9800.0,24.55,20.09
26,52.0,63,2873.63,951.74,1000.0,5000.0,31.46,8.43
27,54.0,15,3160.0,660.95,2000.0,4300.0,32.47,7.6
28,56.0,1,2800.0,,2800.0,2800.0,21.88,
29,58.0,11,2295.64,618.68,1152.0,3200.0,25.18,9.37
30,62.0,12,2272.17,1018.32,1000.0,4000.0,27.49,5.62
31,64.0,77,2336.49,1556.16,1200.0,13800.0,24.23,8.08
32,66.0,254,2171.75,1210.15,800.0,9800.0,26.9,24.31
33,68.0,53,2617.26,2321.74,1000.0,11800.0,37.11,40.76
34,70.0,48,2268.54,1231.96,500.0,7560.0,24.57,12.14
35,72.0,17,5223.53,4848.26,1000.0,17700.0,36.74,21.69
36,74.0,2,10000.0,1414.21,9000.0,11000.0,83.41,65.92
37,76.0,2,3150.0,1909.19,1800.0,4500.0,51.88,45.09
38,78.0,22,1697.27,1110.39,800.0,4500.0,19.3,6.09
39,80.0,19,3371.05,4200.9,800.0,17500.0,41.64,37.82
40,84.0,2,1350.0,70.71,1300.0,1400.0,15.43,1.24
41,88.0,3,6133.33,1096.97,4900.0,7000.0,68.3,15.82
42,118.0,2,5750.0,1202.08,4900.0,6600.0,121.44,15.55
43,128.0,6,1491.67,280.03,1200.0,1800.0,22.22,4.2
44,136.0,1,3500.0,,3500.0,3500.0,56.97,
