,距离分组,房源数,平均租金,租金标准差,最低租金,最高租金,平均单位租金,单位租金标准差
0,0.0,388,6722.2,5018.27,1600.0,45000.0,87.41,36.29
1,2.0,964,5455.43,4246.24,900.0,42000.0,68.81,29.47
2,4.0,1841,4176.47,2408.85,800.0,28000.0,63.51,25.23
3,6.0,1552,4027.16,3045.47,800.0,43000.0,60.49,28.22
4,8.0,1487,3763.41,2545.13,800.0,42000.0,58.48,26.8
5,10.0,1283,3607.74,2963.68,800.0,55000.0,55.52,25.74
6,12.0,1016,3717.31,4323.94,800.0,101500.0,54.61,30.9
7,14.0,828,3087.55,2406.14,700.0,32000.0,45.95,23.81
8,16.0,735,3843.2,2579.15,800.0,25500.0,53.01,23.42
9,18.0,591,3719.84,3149.0,900.0,62000.0,49.03,19.11
10,20.0,508,2720.4,1666.14,810.0,17770.0,39.96,17.95
11,22.0,576,2057.05,1010.33,800.0,9988.0,29.9,13.31
12,24.0,368,1960.66,950.54,700.0,6000.0,34.02,12.98
13,26.0,536,2693.1,2117.44,800.0,33600.0,37.69,14.87
14,28.0,344,1986.13,812.52,800.0,7000.0,33.29,10.22
15,30.0,114,2333.72,853.12,1200.0,4800.0,30.88,11.98
16,32.0,178,2063.15,901.48,900.0,7000.0,24.48,9.17
17,34.0,135,2304.07,498.58,1100.0,3800.0,24.54,6.98
18,36.0,66,2181.08,1244.48,1000.0,7000.0,29.7,10.58
19,38.0,237,2078.38,986.93,800.0,8000.0,33.71,18.56
20,40.0,443,1769.89,1032.74,800.0,12000.0,22.62,9.25
21,42.0,317,2205.35,851.28,800.0,6000.0,25.66,11.35
22,44.0,593,1860.02,682.93,800.0,6000.0,23.64,8.6
23,46.0,225,1877.11,1207.93,800.0,12283.0,23.4,9.44
24,48.0,562,2008.22,986.29,800.0,13800.0,29.97,10.78
25,50.0,536,2297.01,1491.13,800.0,18000.0,31.99,20.32
26,52.0,582,2098.88,1891.78,800.0,42000.0,31.64,11.18
27,54.0,377,2016.76,1478.17,800.0,25000.0,28.25,11.55
28,56.0,176,2041.28,878.36,700.0,5760.0,29.92,10.24
29,58.0,215,2135.22,2161.61,800.0,32000.0,24.59,8.63
30,60.0,182,2750.01,1784.81,1200.0,20000.0,28.76,11.81
31,62.0,67,2179.52,687.45,800.0,5000.0,26.19,9.81
32,64.0,19,2085.79,403.53,1200.0,3000.0,22.97,3.27
33,66.0,2,2500.0,565.69,2100.0,2900.0,49.34,15.08
34,68.0,14,2109.86,172.83,1900.0,2500.0,22.23,2.33
35,70.0,2,1750.0,636.4,1300.0,2200.0,26.66,9.43
36,72.0,69,1429.88,410.99,800.0,2500.0,17.09,4.25
37,74.0,10,2449.0,1761.39,800.0,5000.0,21.53,9.41
38,76.0,40,1277.0,678.52,800.0,5000.0,15.38,7.04
39,78.0,6,2683.33,770.5,1800.0,3800.0,26.43,7.67
