,距离分组,房源数,平均租金,租金标准差,最低租金,最高租金,平均单位租金,单位租金标准差
0,0.0,1061,5623.29,10245.61,800.0,276460.0,72.49,28.49
1,2.0,1751,4576.06,3646.63,800.0,56448.0,70.35,22.07
2,4.0,1891,4553.58,6944.56,600.0,220000.0,62.83,22.94
3,6.0,2050,4392.05,5240.59,700.0,171282.0,60.86,21.97
4,8.0,1647,3924.27,4232.31,600.0,130000.0,53.66,20.6
5,10.0,1516,3885.74,3432.07,600.0,66666.0,52.52,19.45
6,12.0,1023,3162.56,1871.65,750.0,35000.0,45.89,17.18
7,14.0,814,3307.48,2644.7,750.0,50400.0,49.13,19.07
8,16.0,986,3073.24,1691.57,700.0,20000.0,46.8,19.77
9,18.0,820,2558.07,2270.33,600.0,32000.0,33.94,16.17
10,20.0,1126,2505.21,2086.64,650.0,38000.0,39.0,21.2
11,22.0,986,2806.74,2422.73,500.0,36000.0,37.32,15.03
12,24.0,306,2243.47,1215.82,450.0,12000.0,30.34,13.96
13,26.0,334,2155.95,794.6,800.0,4800.0,26.07,10.04
14,28.0,556,2033.96,1171.93,600.0,14000.0,31.1,14.75
15,30.0,983,1834.75,1320.53,500.0,28167.0,25.23,11.37
16,32.0,862,2030.14,1380.07,500.0,28000.0,30.39,19.05
17,34.0,545,2270.34,1780.15,500.0,23500.0,31.83,19.66
18,36.0,285,1581.31,766.87,500.0,7000.0,21.82,9.84
19,38.0,103,1752.63,1042.48,700.0,9500.0,21.61,10.26
20,40.0,11,1709.0,532.01,1000.0,2600.0,16.98,5.98
21,42.0,69,3312.32,2358.02,1000.0,13500.0,39.56,16.34
22,44.0,61,1944.03,610.71,800.0,3400.0,21.57,11.27
23,46.0,9,2166.67,2396.87,900.0,8500.0,27.18,17.97
24,48.0,22,1244.09,288.94,700.0,1600.0,18.37,4.26
25,52.0,2,1950.0,70.71,1900.0,2000.0,15.4,0.97
26,56.0,2,5325.0,5197.23,1650.0,9000.0,43.45,15.7
27,58.0,2,1350.0,212.13,1200.0,1500.0,13.75,1.77
28,68.0,1,1500.0,,1500.0,1500.0,16.67,
29,70.0,4,2125.0,1270.0,1260.0,4000.0,46.41,23.39
30,72.0,12,2233.33,528.0,1200.0,3000.0,22.59,7.99
31,74.0,10,1613.2,256.92,1500.0,2332.0,30.48,3.79
32,76.0,7,2014.29,1027.02,900.0,3500.0,23.12,9.64
33,78.0,78,2439.36,2789.08,800.0,21600.0,30.2,8.11
34,80.0,255,2192.41,1241.19,800.0,15000.0,27.24,10.55
35,82.0,74,1855.15,2159.2,750.0,18225.0,24.02,10.84
36,84.0,2,1800.0,989.95,1100.0,2500.0,17.14,1.36
37,86.0,1,1300.0,,1300.0,1300.0,14.61,
38,94.0,1,888.0,,888.0,888.0,9.98,
39,118.0,2,950.0,70.71,900.0,1000.0,13.84,0.64
40,128.0,1,2000.0,,2000.0,2000.0,20.0,
41,132.0,6,2945.83,587.88,2200.0,3600.0,35.37,2.81
42,134.0,3,4000.0,1802.78,2500.0,6000.0,58.33,8.34
43,146.0,1,1500.0,,1500.0,1500.0,23.44,
44,148.0,2,2750.0,353.55,2500.0,3000.0,30.12,2.88
45,150.0,1,1800.0,,1800.0,1800.0,29.51,
46,156.0,9,6755.56,7101.08,2600.0,25000.0,65.89,25.81
47,166.0,1,2900.0,,2900.0,2900.0,52.73,
48,198.0,1,1400.0,,1400.0,1400.0,70.0,
