,距离分组,房源数,平均租金,租金标准差,最低租金,最高租金,平均单位租金,单位租金标准差
0,0.0,193,11287.53,10984.33,3200.0,80000.0,136.31,46.92
1,2.0,1151,9082.7,7604.71,1600.0,75000.0,121.35,56.45
2,4.0,2609,8484.9,5640.37,1300.0,67700.0,122.64,43.55
3,6.0,2265,7299.83,4530.5,2500.0,45000.0,112.62,35.61
4,8.0,1991,6614.95,3698.72,1575.0,48000.0,95.33,26.04
5,10.0,1215,6241.51,3305.35,900.0,29000.0,85.14,24.22
6,12.0,864,5373.55,2265.12,2000.0,26500.0,78.62,19.4
7,14.0,554,5485.01,2340.59,2000.0,23000.0,68.26,16.75
8,16.0,634,5361.71,3057.84,1800.0,33000.0,68.5,19.9
9,18.0,477,5135.32,2947.63,1500.0,37500.0,62.45,18.72
10,20.0,529,4865.39,2508.93,1700.0,30000.0,60.69,17.22
11,22.0,350,4250.31,1880.23,1700.0,20000.0,56.72,16.31
12,24.0,520,4294.89,2165.48,1200.0,18500.0,57.16,17.97
13,26.0,473,3688.96,1721.64,1300.0,12300.0,47.74,15.82
14,28.0,478,3833.88,1687.0,1250.0,16000.0,47.53,14.69
15,30.0,356,3919.88,2123.23,1100.0,21000.0,46.62,17.62
16,32.0,403,3390.61,1479.17,1200.0,11000.0,44.33,17.47
17,34.0,443,3722.26,2510.25,1300.0,26500.0,43.97,17.96
18,36.0,294,3605.78,1642.15,1500.0,17000.0,44.1,17.72
19,38.0,134,3728.81,1682.87,1500.0,13000.0,48.34,16.62
20,40.0,59,3521.36,1165.39,1995.0,6500.0,44.64,20.95
21,42.0,98,3378.17,1621.29,1200.0,10500.0,37.06,11.85
22,44.0,63,3631.05,3045.76,1100.0,25000.0,34.38,18.36
23,46.0,131,2472.17,1802.59,500.0,9000.0,26.03,17.09
24,48.0,24,2270.83,1494.84,900.0,8000.0,25.23,15.06
25,50.0,24,3506.25,2426.94,500.0,12800.0,35.97,19.47
26,52.0,4,5100.0,1219.29,3600.0,6500.0,76.31,31.91
27,54.0,96,3094.33,1432.3,800.0,12000.0,33.99,11.59
28,56.0,108,2721.57,995.59,1000.0,6200.0,30.56,8.73
29,58.0,45,2520.44,862.93,1400.0,6000.0,27.69,7.67
30,60.0,70,1925.4,935.19,800.0,5800.0,27.37,9.35
31,62.0,25,1967.16,745.87,1000.0,4400.0,25.35,9.7
32,64.0,4,1667.5,744.46,900.0,2500.0,27.15,5.82
33,66.0,4,2767.5,559.37,2300.0,3570.0,38.4,8.98
34,72.0,1,4100.0,,4100.0,4100.0,120.27,
35,74.0,8,7825.0,2932.45,1500.0,11800.0,85.98,30.07
36,76.0,9,1811.11,1483.61,700.0,5500.0,29.17,42.0
37,78.0,25,1704.0,897.44,600.0,3500.0,18.15,9.12
38,80.0,17,1823.53,540.29,800.0,2500.0,29.62,12.93
39,82.0,27,1661.11,589.06,700.0,3200.0,25.8,9.59
40,84.0,11,1450.0,447.77,1000.0,2500.0,25.11,6.48
41,92.0,3,5433.33,814.45,4500.0,6000.0,123.83,21.62
42,94.0,2,1450.0,212.13,1300.0,1600.0,29.96,0.25
43,102.0,6,1833.33,403.32,1200.0,2300.0,26.02,10.47
44,104.0,1,500.0,,500.0,500.0,10.2,
