,距离分组,房源数,平均租金,租金标准差,最低租金,最高租金,平均单位租金,单位租金标准差
0,0.0,526,8095.89,5142.49,2280.0,64500.0,114.06,39.27
1,2.0,1153,8040.36,6209.56,1600.0,68000.0,104.33,39.45
2,4.0,1776,7757.91,8120.67,1470.0,160000.0,102.52,41.72
3,6.0,1361,6906.52,3528.73,1500.0,37000.0,96.45,28.9
4,8.0,1206,6032.5,3929.88,1500.0,40000.0,87.36,31.09
5,10.0,937,5130.81,2466.2,1200.0,23800.0,78.53,26.78
6,12.0,663,5425.36,2330.37,1480.0,17000.0,77.31,25.0
7,14.0,375,4786.42,1929.82,1700.0,13000.0,76.16,20.13
8,16.0,222,4970.86,1862.08,1500.0,14700.0,69.01,28.97
9,18.0,51,4692.16,1153.53,2600.0,7000.0,59.35,13.4
10,20.0,188,3976.44,1399.34,1500.0,10000.0,62.94,18.14
11,22.0,426,4507.85,2901.69,1500.0,40000.0,63.62,17.82
12,24.0,244,3405.06,1809.54,1750.0,25700.0,55.01,15.08
13,26.0,648,3377.35,1371.48,1300.0,15600.0,56.33,14.51
14,28.0,263,3247.05,1306.38,1380.0,12000.0,51.23,11.91
15,30.0,173,3658.81,1279.66,1400.0,10000.0,51.37,11.49
16,32.0,222,3159.45,1890.22,1500.0,25000.0,49.92,13.91
17,34.0,92,3012.21,983.01,1500.0,6300.0,49.26,10.12
18,36.0,204,2930.59,817.34,1500.0,5500.0,56.75,12.94
19,38.0,40,4199.5,1248.1,2500.0,6500.0,53.93,9.55
20,40.0,36,2286.39,899.44,1300.0,4000.0,35.13,5.69
21,42.0,164,2783.1,761.24,1300.0,4500.0,40.98,7.98
22,44.0,40,2831.45,840.47,1300.0,5200.0,39.78,9.24
23,46.0,8,3000.0,688.68,1700.0,4000.0,36.72,9.98
24,50.0,1,2800.0,,2800.0,2800.0,31.46,
25,52.0,15,2979.67,747.18,1795.0,4500.0,39.4,8.5
